,Title,Genre,Datepublish,Rate,RatingCount,Director(s),Writer(s),Actor(s),Summary,Description,PlotKeyword,Time,Color,Language,Budget,Gross,Facebook_link,Offcialsite
1017,J. Edgar (2011),"['Biography', 'Crime', 'Drama']",2011-11-11,6.6,"111,397",['Clint Eastwood'],['Dustin Lance Black'],"['Leonardo DiCaprio,', 'Armie Hammer,', 'Naomi Watts']","J. Edgar Hoover, powerful head of the F.B.I. for nearly 50 years, looks back on his professional and personal life.","Biopic of J. Edgar Hoover told by Hoover as he recalls his career for a biography. Early in his career, Hoover fixated on Communists, anarchists and any other revolutionary taking action against the U.S. government. He slowly builds the agency's reputation, becoming the sole arbiter of who gets hired and fired. One of his hires is Clyde Tolson who is quickly promoted to Assistant Director and would be Hoover's confidant and companion for the rest of Hoover's life. Hoover's memories have him playing a greater role in the many high profile cases the FBI was involved in - the Lindbergh baby kidnapping, the arrest of bank robbers like John Dillinger - and also show him to be quite adept at manipulating the various politicians he's worked with over his career, thanks in large part to his secret files.                Written by
garykmcd","['gay relationship', 'fbi', 'secret', 'federal bureau of investigation', 'agent']","Runtime:
        137 min","Color:
        Color","Language:
        English","Budget:$35,000,000
            (estimated)","Gross USA: $37,306,030",/offsite/?page-action=offsite-facebook&token=BCYt3d3esqKWh9Mek9D2vEjIjIqR3HyGl04WWQRWxYkU687JIALV83zOd-d92XvBxaD7JqQX5yo1%0D%0AnpeIW42bT45UQ9TQbGmOIexgizG3ldetV52mWppwu5_NYb6LX9Dd0SmNpZXvBOertOfZMKxwjUYg%0D%0ATbzzg3M0LuxVQusi63I-5KezG7ipCdoF-jMnxsimgdRRJaTP4gluQKzIwQtgyeBpnylBtd8h6VXf%0D%0AiZrNEEls9ns%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1018,Jack & Diane (2012),"['Drama', 'Horror', 'Romance']",2012-04-20,4.5,"2,408",['Bradley Rust Gray'],['Bradley Rust Gray'],"['Riley Keough,', 'Juno Temple,', 'Kylie Minogue']",Diane's feelings for Jack -- the girl she met over the summer -- begin to manifest themselves in terrifying ways when she learns that her friend will soon be moving away.,"Jack and Diane, two teenage girls, meet in New York City and spend the night kissing ferociously. Diane's charming innocence quickly begins to open Jack's tough skinned heart. But, when Jack discovers that Diane is leaving the country in a week she tries to push her away. Diane must struggle to keep their love alive while hiding the secret that her newly awakened sexual desire is giving her werewolf-like visions.                Written by
filmsalt.com","['werewolf', 'girl in panties', 'red panties', 'panties', 'scene after end credits']","Runtime:
        110 min","Color:
        Color","Language:
        English",,"Gross USA: $1,041, 11 November 2012",/offsite/?page-action=offsite-facebook&token=BCYmr8trDV2SG92uWooihwIC8WTJgJN4tG11B1axb1qJNeDImVrzDgTNbGzQWULq_-4NJrcmV7N0%0D%0A9DqKq4DqcuqyzgzKVvCtHi-5-P_JRNsyW3QB3Gbu0NYCk0wddvBoxwt73ogrrCdjD3ieOEH-frnW%0D%0A1F32Viy_SXpETOiMuwyaU_RbdRD1hZFkV2cTKfe4jEsxiFQXO1cP5kfXvZi8mH-1LCAFYZYVHjzE%0D%0AUTgiwwvHAunzA9xvKARoG2N8inWL82cU%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1019,Jack Brooks: Monster Slayer (2007),"['Action', 'Comedy', 'Horror']",2008-11-19,6.0,"5,512",['Jon Knautz'],"['Jon Knautz (story),', 'Trevor Matthews (story)']","['Robert Englund,', 'Trevor Matthews,', 'Daniel Kash']",A troubled young man still mourning the childhood loss of his family now has to deal with his professor being turned into a monster.,"As a child Jack Brooks witnessed the brutal murder of his family. Now a young man he struggles with a pestering girlfriend, therapy sessions that resolve nothing, and night classes that barely hold his interest. After unleashing an ancient curse, Jack's Professor undergoes a transformation into something not-quite- human, and Jack is forced to confront some old demons... along with a few new ones.                Written by
Anonymous","['demon', 'vomiting', 'monster slayer', 'uncle', 'teacher']","Runtime:
        85 min
          |
        90 min","Color:
        Color","Language:
        English","Budget:CAD 2,500,000
            (estimated)",,,
1020,Jack Goes Boating (2010),"['Drama', 'Romance']",2010-12-29,6.4,"7,439",['Philip Seymour Hoffman'],"['Robert Glaudini (screenplay) (as Bob Glaudini),', 'Robert Glaudini (play) (as Bob Glaudini)']","['Philip Seymour Hoffman,', 'Amy Ryan,', 'John Ortiz']","A limo driver's blind date sparks a tale of love, betrayal, friendship, and grace centered around two working-class New York City couples.","Jack is a shy and awkward man who drives a limo and lives an unassuming life. His friend and co-worker, Clyde, and his wife Lucy, feel sorry for Jack and set him up on a blind date with Connie. Connie shares Jack's shyness and awkwardness, but through each other they seem to be able to find solace within themselves. Trouble might be brewing in paradise though, as Clyde and Lucy's marriage stumbles just as Jack and Connie's relationship grows.                Written by
napierslogs","['new york city', 'snowing', 'snow', 'limousine', 'chauffeur']","Runtime:
        91 min","Color:
        Color","Language:
        English",,"Gross USA: $538,808, 12 December 2010",,
1021,Jack Reacher (2012),"['Action', 'Crime', 'Mystery']",2012-12-21,7.0,"264,715",['Christopher McQuarrie'],"['Lee Child (based on the book ""One Shot"" by),', 'Christopher McQuarrie (written for the screen by)']","['Tom Cruise,', 'Rosamund Pike,', 'Richard Jenkins']",A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But instead of confessing, the accused man writes the words, ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.                Written by
Anonymous","['sniper', 'coma', 'quarry', 'heads knocked together', 'mysterious villain']","Runtime:
        130 min","Color:
        Color","Language:
        English","Budget:$60,000,000
            (estimated)","Gross USA: $80,070,736",,
1022,Jack and Jill (2011),['Comedy'],2011-11-11,3.4,"66,765",['Dennis Dugan'],"['Steve Koren (screenplay),', 'Adam Sandler (screenplay)']","['Adam Sandler,', 'Katie Holmes,', 'Al Pacino']","Family guy Jack Sadelstein prepares for the annual event he dreads: the Thanksgiving visit of his twin sister, the needy and passive-aggressive Jill, who then refuses to leave.","Jack Sadelstein is a successful advertising executive in Los Angeles with a beautiful wife and kids, who dreads one event each year: the Thanksgiving visit of his identical twin sister Jill. Jill's neediness and passive-aggressiveness is maddening to Jack, turning his normally tranquil life upside down.                Written by
Columbia Pictures","['elizabeth i character', 'twins', 'advertising executive', 'advertising', 'co written by actor']","Runtime:
        91 min","Color:
        Color","Language:
        English","Budget:$79,000,000
            (estimated)","Gross USA: $74,158,157",/offsite/?page-action=offsite-facebook&token=BCYha5PsYumWrIA1xJb34ARPXZOuvOwj1eQDeLHdgk_DE-yOwgAxPS-lm6tPks990wraKbdVc6w-%0D%0AHVGMYcXpIItO6rQ9SLim_C3xFSAhXORPVeicp0aK0M0eL1o4zrB2rPB3HtmCgnrB9H6dSNQ_3ID9%0D%0AcCk1QRSo8ASyRu5p7MoQxNUPcO7r7yDVjxLeYd3pPXv6eEuJrQf-Z9yxLKu8oWyXOQa2OA7Y_kgc%0D%0AyDS-5b694pM%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1023,Jack the Giant Slayer (2013),"['Adventure', 'Fantasy']",2013-03-01,6.3,"116,671",['Bryan Singer'],"['Darren Lemke (screenplay),', 'Christopher McQuarrie (screenplay)']","['Nicholas Hoult,', 'Stanley Tucci,', 'Ewan McGregor']","The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.","Sent to the market by his uncle to sell their horse and buy thatch for their roof, Jack meets the beautiful Princess Isabelle whom he rescues her from ruffians. He returns home only with a handful of beans given to him by a monk who claimed they were sacred but that does little to impress his uncle who tosses them away. In the night the Princess arrives having run off to keep from marrying Roderick who is clearly only interested in becoming king. Soon the beans take root with a giant stalk carrying away the princess and Jack's house. He soon sets off on an adventure with the king's guards to rescue the princess only to find that a mythical land filled with giants really exists.                Written by
garykmcd","['no opening credits', 'giant', 'princess', 'bean', 'king']","Runtime:
        114 min","Color:
        Color","Language:
        English","Budget:$195,000,000
            (estimated)","Gross USA: $65,187,603",/offsite/?page-action=offsite-facebook&token=BCYucKbpWbyJWAtjIIDwC8qh68olLdJAPnDDZ7X6_149lLkG9N74yOcMQRRQWbCxXqZZtKj8r7PT%0D%0A43r2Bw2DNNLvnGiDGJoFHW203At5iR93P35nr7cGPicHSb7RktUyDaMTXZMFiiMzuY2xFXwsqU-s%0D%0AowqpkxpKyq3yvrrANbEDpFtzuqIxCLLq7QTKmErkhNMFX6AEAeZJbGp0RdQQz2ZeIepiWNRzbuHX%0D%0AW4J0Z67BREY%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1024,Jane Eyre (2011),"['Drama', 'Romance']",2011-04-22,7.4,"70,848",['Cary Joji Fukunaga'],"['Charlotte Brontë (novel),', 'Moira Buffini (screenplay)']","['Mia Wasikowska,', 'Michael Fassbender,', 'Jamie Bell']",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,"After a bleak childhood, Jane Eyre goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meets the dark, cold, and abrupt master of the house, Mr. Rochester. Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?                Written by
Mel Bellis in the U.K.","['secret', 'governess', 'friendship', 'f rated', 'horseback riding']","Runtime:
        120 min","Color:
        Color","Language:
        English
            |
        French",,"Gross USA: $11,242,660",/offsite/?page-action=offsite-facebook&token=BCYtVvC4nTAsVUEfWK20nL_krVzMz7a8xqUBXfG_jkNeCJV6CjLODjvw7dxBFItaYyIn_XP2X0E1%0D%0AMZEt9pREZRUZnELuKcecFecY4J4jfcnfIsFw0CxPMJUu7oMdZuv280jHIMCif6JVL8-7LdCIzg7C%0D%0AAa7PEDT3PuA6h7qM0tof4TXDVzllwJbLzAYr7zaSpYTvkBS_XYQYzasYLBuprwXVUj3dsRYQbcgX%0D%0Am51SVrJDmpQ%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1025,Jane Got a Gun (2015),"['Action', 'Drama', 'Western']",2016-01-29,5.9,"17,027","[""Gavin O'Connor""]","['Brian Duffield (screenplay),', 'Anthony Tambakis (screenplay)']","['Natalie Portman,', 'Joel Edgerton,', 'Ewan McGregor']",A woman asks her ex-lover for help in order to save her outlaw husband from a gang out to kill him.,"Jane Got a Gun centers on Jane Hammond, who has built a new life with her husband Bill ""Ham"" Hammond after being tormented by the ultra-violent Bishop Boys outlaw gang. She finds herself in the gang's cross-hairs once again when Ham stumbles home riddled with bullets after dueling with the Boys and their relentless mastermind Colin. With the vengeful crew hot on Ham's trail, Jane has nowhere to turn but to her former fiancé Dan Frost for help in defending her family against certain destruction. Haunted by old memories, Jane's past meets the present in a heart-stopping battle for survival.                Written by
Relativity","['ex lover', 'haunted by the past', 'death of husband', 'redemption', 'brothel']","Runtime:
        98 min","Color:
        Color","Language:
        English","Budget:$25,000,000
            (estimated)","Gross USA: $1,512,815, 21 February 2016",,
1026,Jason Becker: Not Dead Yet (2012),"['Documentary', 'Biography', 'Music']",2012-11-16,8.1,"1,065",['Jesse Vile'],['Jesse Vile'],"['Jason Becker,', 'Dan Alvarez,', 'Ehren Becker']","When doctors diagnosed 19-year-old rock star Jason Becker with Lou Gehrig's Disease, they said he would never make music again. 22 years later, without the ability to move or to speak, Jason is alive and making music with his eyes.","A documentary film about the extraordinary life of a famous, musical prodigy who has been battling against Lou Gehrig's Disease for 22 years. A paralyzing, terminal illness with no real treatment or cure, it has trapped Jason inside of his body for over 15 years; unable to move, unable to speak, and unable to play the instrument which propelled him to international stardom at just 19 years of age. Using an eye communication system invented by his father, Jason is able to escape the confines of his own body and release the music that is trapped inside of his mind.                Written by
Anonymous",,"Runtime:
        87 min","Color:
        Color","Language:
        English",,,/offsite/?page-action=offsite-facebook&token=BCYvTY2R1go_zXDrREx1T9wJtOmP4i98hKXePdXreWz4VYHYx018GKfuH6omHqovgHNl_vHE8wCC%0D%0A2bfbmEiSvstLtoR-KWa0iGnADW5nYaEenxh-p5aUO3bX9gF1FAIBD7i5ZhDdKxndqZ1rAOaLFH8s%0D%0AJIU1bu84gV012JAJhXkCIRNTY0POk0qyyFBbRuxMUP8iE5OeYF1A3ktgTCZqb9UX8EbHHVxazaaH%0D%0AjiWGat-mI8c%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1027,Java Heat (2013),"['Action', 'Crime', 'Drama']",2013-05-09,5.2,"4,351",['Conor Allyn'],"['Conor Allyn (screenplay),', 'Rob Allyn (screenplay)']","['Kellan Lutz,', 'Verdi Solaiman,', 'Mickey Rourke']",A Muslim detective teams with an American posing as a graduate student to find the man behind a series of deadly terrorist bombings in Indonesia.,"Story centers on the aftermath of a suicide bombing in Indonesia, where a reckless American posing as a grad student is bent on vengeance but quickly finds that the world's problems can't be solved with violence alone. A mysterious American Marine/FBI agent Jake Travers (Kellan Lutz) teams with a Muslim cop Hashim (Ario Bayu) to hunt down a dangerous international jewel thief Malik (Mickey Rourke) who kidnaps a Sultan's daughter Sultana (Atiqah Hasiholan) in a plot to steal the royal treasury: exotic intrigue amid ancient palaces, mosques, temples, subterranean labyrinths and stone pyramids in the heart of Java.                Written by
H.G.","['java', 'kidnapping', 'male rear nudity', 'homosexual', 'gay']",,"Color:
        Color","Language:
        English
            |
        Indonesian","Budget:$15,000,000
            (estimated)",,,
1028,Jeff Dunham's Very Special Christmas Special (2008),"['Documentary', 'Comedy']",2008-11-16,7.6,"2,491",['Michael Simon'],['Jeff Dunham'],"['Jeff Dunham,', 'Brian Haner']",The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends.,The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends.,"['stand up', 'comedian', 'tv special', 'violent comedy', 'comic']",,"Color:
        Color","Language:
        English",,,,
1029,Jeff Dunham: Spark of Insanity (2007),"['Documentary', 'Comedy']",2007-09-17,8.1,"3,622",['Michael Simon'],['Jeff Dunham'],"['Jeff Dunham,', 'Paige Dunham']","Jeff Dunham and his socially reckless ""suitcase posse"" are back in this highly anticipated follow-up to Arguing with Myself, his breakthrough television special! What's next? An ALL NEW ...
                    See full summary »","Jeff Dunham and his socially reckless ""suitcase posse"" are back in this highly anticipated follow-up to Arguing with Myself, his breakthrough television special! What's next? An ALL NEW show that is Bigger... Better... and Funnier than ever! This time, Dunham welcomes two never-before-seen partners ""Achmed the Dead Terrorist,"" and ""Melvin the Superhero."" Long-time favorites ""Peanut,"" ""Walter"" and Jose Jalapeno...On a STEEK! are back in an entirely original show for everyone!                Written by
Anonymous","['toyota prius', 'tv special', 'live audience', ""reference to rosie o'donnell"", 'ventriloquist']","Runtime:
        80 min","Color:
        Color","Language:
        English",,,,
1030,"Jeff, Who Lives at Home (2011)","['Comedy', 'Drama']",2012-05-11,6.5,"58,573","['Jay Duplass,', 'Mark Duplass']","['Jay Duplass,', 'Mark Duplass']","['Jason Segel,', 'Ed Helms,', 'Judy Greer']","Dispatched from his basement room on an errand for his widowed mother, slacker Jeff might discover his destiny (finally) when he spends the day with his unhappily married brother as he tracks his possibly adulterous wife.","Jeff, at 30, lives in his mom's basement, unemployed, looking for signs about what to do with his life. He answers a wrong-number call for ""Kevin"". Later, on a bus, he sees someone wearing a jersey with ""Kevin"" on the back. Jeff follows him. Meanwhile, Jeff's brother, Pat, a tone-deaf salesman, upsets his wife by buying a Porsche they cannot afford; Pat runs into Jeff soon after and they see Pat's wife with another man. At her job, Jeff and Pat's mom receives e-mails from a secret admirer; she tries to figure out who it is. Misunderstandings, errors, and confrontations abound. A backup on the Lake Pontchartrain Causeway brings things to a head.                Written by
<jhailey@hotmail.com>","['stalking', 'adult lives at home', 'bathroom', 'motel room', 'car crashing into a tree']","Runtime:
        83 min","Color:
        Color","Language:
        English","Budget:$10,000,000
            (estimated)","Gross USA: $4,244,155, 13 May 2012",/offsite/?page-action=offsite-facebook&token=BCYu93rfbCQMnmGP6ya5eT2v_8geO3O3qCKFPDPL7XVNXIq6Ph993pLpZnZmZ6urgaM4zTyFhWFk%0D%0AIVyRwb4_9ewFCU0t61de-21OxGPuacQ-QkncPtv1NVApdVMrbyIhFiVbHddNiLZRdqQhSgcTcW3w%0D%0AqI5BESrjowD46bfsog-cx3doh6G-xLBc-jRPdgKRWp9PC0Z1eUNk16JR-n61zAClogrot-xGreRm%0D%0Azs1QNY-Bw4Q2KnCuGSSP0Csp8G9EMvyI%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1031,Jennifer's Body (2009),"['Comedy', 'Horror']",2009-09-18,5.1,"100,479",['Karyn Kusama'],['Diablo Cody'],"['Megan Fox,', 'Amanda Seyfried,', 'Adam Brody']",A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,"Nerdy, reserved bookworm Needy Lesnicki, and arrogant, conceited cheerleader Jennifer Check are best friends, though they share little in common. They share even less in common when Jennifer mysteriously gains an appetite for human blood after a disastrous fire at a local bar. As Needy's male classmates are steadily killed in gruesome attacks, the young girl must uncover the truth behind her friend's transformation and find a way to stop the bloodthirsty rampage before it reaches her own boyfriend Chip.                Written by
The Massie Twins","['lesbian teen', 'story continued during end credits', 'scene during end credits', 'impaled by pipe', 'hook for hand']","Runtime:
        102 min
          |
        107 min
            (unrated)","Color:
        Color","Language:
        English
            |
        Spanish","Budget:$16,000,000
            (estimated)","Gross USA: $16,204,793, 20 November 2009",,
1032,Jessabelle (2014),"['Horror', 'Thriller']",2014-11-07,5.4,"19,381",['Kevin Greutert'],['Robert Ben Garant'],"['Sarah Snook,', 'Mark Webber,', 'Joelle Carter']","Returning to her childhood home in Louisiana to recuperate from a horrific car accident, Jessabelle comes face to face with a long-tormented spirit that has been seeking her return -- and has no intention of letting her escape.","Jessabelle ""Jessie"" Laurent is pregnant and accepts to move to the house of her boyfriend to raise a family of their own. However they have a car accident where her boyfriend and her baby die. Jessie is seriously wounded and trapped to a wheelchair, and the direction of the hospital asks her to contact her estranged father to help her. Leon Laurent brings his daughter to his house in Louisiana and lodges her in her mother's room. Jessie snoops around the room and finds a videotape where her mother Kate Laurent is pregnant and reads tarot cards to her. She tells that Jessie would never left Louisiana; she is attracted by water; and another woman wants her out of the house. However Leon arrives and destroys the tape. On the next morning, Jessie watches another videotape when her father is out of the house, and her mother talks about the man that had taught her to read cards, Moses. Jessie is haunted by the ghost of a woman and her father discovers the two other videotapes she has hidden...                Written by
Claudio Carvalho, Rio de Janeiro, Brazil","['wheelchair', 'baby coffin', 'voodoo cult', 'woman in a wheelchair', 'female protagonist']","Runtime:
        90 min","Color:
        Color","Language:
        English",,,,
1033,Jesse Stone: Sea Change (2007),"['Crime', 'Drama']",2007-05-22,7.3,"2,767",['Robert Harmon'],"['Robert B. Parker (based upon the novel: ""Sea Change""),', 'Ronni Kern (teleplay)']","['Tom Selleck,', 'Kathy Baker,', 'Kohl Sudduth']","When Police Chief Jesse Stone's relationship with his ex-wife worsens, he fears he will relapse into alcoholism. To get his mind off his problems, Jesse begins working on the unsolved ...
                    See full summary »","When Police Chief Jesse Stone's relationship with his ex-wife worsens, he fears he will relapse into alcoholism. To get his mind off his problems, Jesse begins working on the unsolved murder of a bank teller shot during a robbery. Meanwhile, Stone's investigation of an alleged rape draws him into conflict with the town council, which hopes to preserve Paradise's reputation as an ideal seaside resort.                Written by
page8701","['bikini', 'police chief', 'gym', 'shot multiple times', 'year 1994']","Runtime:
        88 min","Color:
        Color","Language:
        English",,,,
1034,Jim Gaffigan: King Baby (2009),"['Documentary', 'Comedy']",2009-03-29,7.9,"1,719",['Troy Miller'],"['Jim Gaffigan,', 'Jeannie Gaffigan']",['Jim Gaffigan'],"The greatly anticipated follow-up to the platinum-selling ""Beyond the Pale."" In this Austin performance that capped off his sold-out 2008 stand-up tour, Gaffigan does not let the audience ...
                    See full summary »","The greatly anticipated follow-up to the platinum-selling ""Beyond the Pale."" In this Austin performance that capped off his sold-out 2008 stand-up tour, Gaffigan does not let the audience catch their breath. This all-new show proves no other comedian working today can romanticize laziness and overindulgence like Jim Gaffigan.                Written by
Anonymous","['tv special', 'live audience', 'stand up comedy']","Runtime:
        60 min","Color:
        Color","Language:
        English",,,,
1035,Jim Jefferies: I Swear to God (2009),"['Documentary', 'Comedy']",2009-05-16,8.3,"2,022",['John Moffitt'],['Jim Jefferies'],['Jim Jefferies'],Politically incorrect Australian comedian Jim Jefferies performs.,Politically incorrect Australian comedian Jim Jefferies performs.,"['tv special', 'live audience', 'stand up comedy']","Runtime:
        58 min","Color:
        Color","Language:
        English",,,,
1036,Jimmy Carter Man from Plains (2007),"['Documentary', 'Biography', 'History']",2008-08-15,7.0,783,['Jonathan Demme'],['Jonathan Demme'],"['Jimmy Carter,', 'Rosalynn Carter,', 'Lillian Carter']","A chronicle of the former president's tour recent for his book ""Palestine: Peace Not Apartheid.""","Late in 2006, President Jimmy Carter tours the U.S. promoting his provocative ""Palestine: Peace Not Apartheid."" Demme's camera follows Carter from city to city, home to Plains (population 635), visiting a Habitat for Humanity site in New Orleans, and talking on radio and TV with Teri Gross, Charlie Rose, Diane Rehm, Jay Leno, Larry King, Wolf Blitzer, Tavis Smiley, and Al Jazeera and Israeli pundits, discussing Palestine's plight and the policies of Israel. Critics speak as well. Between events, Carter talks about Camp David, recent travels, being married, speaking Spanish, and wisdom he learned from Rachel Clark, his nanny. A montage of speeches, awards, and travels ends the film.                Written by
<jhailey@hotmail.com>","['camp david', 'book', 'international relations', 'washington d.c.', 'peace talks']","Runtime:
        120 min","Color:
        Color
|        Color
(archive footage)","Language:
        English",,"Gross USA: $108,282, 17 February 2008",,
1037,Joan Rivers: A Piece of Work (2010),"['Documentary', 'Biography', 'Comedy']",2010-07-02,7.4,"3,375","['Ricki Stern,', 'Anne Sundberg (co-director) (as Annie Sundberg)']",['Ricki Stern'],"['Joan Rivers,', 'Melissa Rivers,', 'Kathy Griffin']","A documentary on the life and career of Joan Rivers, made as the comedienne turns 75 years old.","This documentary follows one year in the life of Joan Rivers, who sees herself first and foremost as an actress, with her life as a comedienne/writer just an extension of being an actress. Now at age 75, Rivers has faced her ups and downs in her forty plus year career, the year leading up to filming being a down compared to what she would have wanted, which is a calendar full of engagements with several engagements each day. That want is in part to support her opulent personal lifestyle, but is more a need to bolster her own sense of self-worth as a basically insecure person who is probably best known now for her overuse of cosmetic surgery rather than her professional work. She feels that Kathy Griffin, who she admires, is now getting all the engagements she would have gotten in her prime. During this year, Rivers is seen going from engagement to engagement, some big - such as a Kennedy Center Honors for George Carlin, a double bill with Don Rickles in New York, and her own celebrity...                Written by
Huggo","['comedienne', 'f rated', 'female protagonist', 'reference to joan rivers', 'materialism']","Runtime:
        84 min","Color:
        Color","Language:
        English",,"Gross USA: $2,927,972, 12 September 2010",,
1038,Jobs (2013),"['Biography', 'Drama']",2013-08-16,5.9,"85,200",['Joshua Michael Stern'],['Matt Whiteley'],"['Ashton Kutcher,', 'Dermot Mulroney,', 'Josh Gad']",The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.,The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.,"['male objectification', 'barefoot male', 'bare feet on table', 'feet on table', 'reference to steve jobs']","Runtime:
        128 min","Color:
        Color","Language:
        English","Budget:$12,000,000
            (estimated)","Gross USA: $16,117,443, 29 September 2013",/offsite/?page-action=offsite-facebook&token=BCYgmhYb-POp8_0uY5jyKyqttGxlEUPZDkfZ8mJlPiSvnRnOVLzBXtAOVKFb8HOA57npXKJddjNp%0D%0A-rby5DydW7008QaFnV5D77xDrM4Nt0hjBuY2pl1oE8oh1jt4vz94FXeF8geG3JeQZVpqx2QGdv9V%0D%0AvKv2e4Gh4VibwejhAlnMFJakB_Nj_c3qpXsE0-ZgbctGQcU9zZG1ADglwzPwkLGsQAVVm8mqaPWT%0D%0A6c2fogSE1Mfo9IeuU5U9mZfzYF31mIvP%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1039,Joe Rogan: Talking Monkeys in Space (2009),"['Documentary', 'Comedy']",2009-06-20,7.9,441,['Anthony Giordano'],['Joe Rogan'],['Joe Rogan'],"Comedian Joe Rogan tackles everything from evolution to making babies to gay marriage in his brand new uncut stand-up special recorded live at the sold-out Southern Theatre in Columbus, Ohio.","Comedian Joe Rogan tackles everything from evolution to making babies to gay marriage in his brand new uncut stand-up special recorded live at the sold-out Southern Theatre in Columbus, Ohio.","['stand up comedy', 'tv special']","Runtime:
        69 min","Color:
        Color","Language:
        English",,,,
1040,John Carter (2012),"['Action', 'Adventure', 'Sci-Fi']",2012-03-09,6.6,"228,858",['Andrew Stanton'],"['Andrew Stanton (screenplay by),', 'Mark Andrews (screenplay by)']","['Taylor Kitsch,', 'Lynn Collins,', 'Willem Dafoe']","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.","John Carter, a Civil War veteran, who in 1868 was trying to live a normal life, is ""asked"" by the Army to join, but he refuses so he is locked up. He escapes, and is pursued. Eventually they run into some Indians, and there's a gunfight. Carter seeks refuge in a cave. While there, he encounters someone who is holding some kind of medallion. When Carter touches it, he finds himself in a place where he can leap incredible heights, among other things. He later encounters beings he has never seen before. He meets a woman who helps him to discover that he is on Mars, and he learns there's some kind of unrest going on.                Written by
rcs0411@yahoo.com","['mars', 'princess', 'alien', 'american civil war', 'male nipple']","Runtime:
        132 min","Color:
        Color","Language:
        English","Budget:$250,000,000
            (estimated)","Gross USA: $73,078,100",/offsite/?page-action=offsite-facebook&token=BCYrXCnUY_8dRvmishQlq1nea4aHI43573X0bySa5iQvSFyeyiZq643rYbZKMnavpadEaREJ89oJ%0D%0AdLunAAUmj1ktHLEJndxWGJQDSkbIudyvyVs2BKhNxRJjSSgtTmExcoW61gEh9MvaDMpz2Sp-Uk_F%0D%0AevL9Ac3gTAjq7dbY0_jTafyu6ek6RnOPcqzEhZQt4jXnbvRHmjWOeXp9-9uSjvxAIf3u_VNfK1N_%0D%0AbfTKmdb-E5g%0D%0A&ref_=tt_pdt_ofs_offsite_0,
1041,John Dies at the End (2012),"['Comedy', 'Horror', 'Sci-Fi']",2013-01-25,6.4,"33,042",['Don Coscarelli'],"['Don Coscarelli (written for the screen by),', 'David Wong (based on the story by)']","['Chase Williamson,', 'Rob Mayes,', 'Paul Giamatti']","A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?","It's a drug that promises an out-of-body experience with each hit. On the street they call it Soy Sauce, and users drift across time and dimensions. But some who come back are no longer human. Suddenly a silent otherworldly invasion is underway, and mankind needs a hero. What it gets instead is John and David, a pair of college dropouts who can barely hold down jobs. Can these two stop the oncoming horror in time to save humanity? No. No, they can't.                Written by
David Wong","['multiple dimensions', 'male friendship', 'cult film', 'mind altering drug', 'bullet time']","Runtime:
        99 min","Color:
        Color
|         Black and White","Language:
        English",,"Gross USA: $141,307, 7 April 2013",/offsite/?page-action=offsite-facebook&token=BCYhLNvdmqjVd9qu_0iL6R1MrB0BI3UVc6F3ovtvFO7wUiqyngD78FQpgGFQOKZO-iO_4gPhRzEt%0D%0A9DzkJSlyZD8YGcdYbYtnyByet7sj7Ns5WEYYCZCRr91Q5sNKbrozFcUJc0gcaEZn5tTPlYLTdNOg%0D%0Akw3n_dAeXzDfUY6MWt3YdMuHDaq6MtExhQFNIqXstupqo1w1pG4lKTFxZJtt_9HpSVRaBj5u4tCI%0D%0AOHVYumwQpCA%0D%0A&ref_=tt_pdt_ofs_offsite_0,
